AC_NO,AC_NAME,DT_CODE,DIST_NAME,PC_NO,PC_NAME,no.,constituency,no._of_voters,turn_out,winner,winner_party,winner_votes,winner_alliance,runner_up,runner_up_party,runner_up_votes,runner_up_alliance,third,third_party,third_votes,third_alliance,fourth,fourth_party,fourth_votes,fourth_alliance,lead
81,Thripunithura,8.0,ERNAKULAM,12,ERNAKULAM,81,Thripunithura,198222,154687,M. Swaraj,CPIM,62697,LDF,K. Babu,INC,58230,UDF,Thuravoor Viswambharan,BJP,29843,NDA,T. A. Kamarudheen,BSP,683,,4467
82,Eranakulam,8.0,ERNAKULAM,12,ERNAKULAM,82,Eranakulam,154040,110535,Hibi Eaden,INC,57819,UDF,M. Anil Kumar,CPIM,35870,LDF,N. K. Mohandas,BJP,14878,NDA,Iqbal Thamarassery,BSP,397,,21949
83,Thrikkakara,8.0,ERNAKULAM,12,ERNAKULAM,83,Thrikkakara,181180,135367,P. T. Thomas,INC,61451,UDF,Sebastian Paul,CPIM,49455,LDF,S. Saji,BJP,21247,NDA,K. M. Shajahan,SDPI,956,,11996
84,Kunnathunad,8.0,ERNAKULAM,11,CHALAKUDY,84,Kunnathunad,172536,148328,V. P. Sajeendran,INC,65445,UDF,Shiji Shivaji,CPIM,62766,LDF,Thuravoor Suresh,BDJS,16459,NDA,N. O. Kuttappan,SP,1263,,2679
85,Piravom,8.0,ERNAKULAM,14,KOTTAYAM,85,Piravom,199940,161199,Anoop Jacob,KCA,73770,UDF,M. J. Jacob,CPIM,67575,LDF,C. P. Sathyan,BDJS,17503,NDA,Gireesh,PGR,485,,6195
86,Muvattupuzha,8.0,ERNAKULAM,13,IDUKKI,86,Muvattupuzha,177882,142630,Eldho Abraham,CPI,70269,LDF,Joseph Vazhackan,INC,60894,UDF,P. J. Thomas,BJP,9759,NDA,P. K. Aboobackar Thangal (Khamar,PDP,513,,9375
87,Kothamangalam,9.0,ERNAKULAM,13,IDUKKI,87,Kothamangalam,159494,128476,Antony John,CPIM,65467,LDF,T. U. Kuruvilla,KCM,46185,UDF,P. C. Cyriac IAS (Retd),NDA,12926,NDA,N. A. Anas,SDPI,1490,,19282
88,Devikulam,9.0,IDUKKI,13,IDUKKI,88,Devikulam,164802,117390,S. Rajendran,CPIM,49510,LDF,A. K. Moni,INC,43728,UDF,R. M. Dhanalakshmi,AIADMK,11613,,N. Chandran,BJP,9592,NDA,5782
89,Udumbanchola,9.0,IDUKKI,13,IDUKKI,89,Udumbanchola,166763,126036,M. M. Mani,CPIM,50813,LDF,Senapathy Venu,INC,49704,UDF,Saji Parambathu,BDJS,21799,NDA,B. Soman,AIADMK,1651,,1109
90,Thodupuzha,9.0,IDUKKI,13,IDUKKI,90,Thodupuzha,195916,141599,P. J. Joseph,KCM,76564,UDF,Roy Varicattu,LDF,30977,LDF,S. Praveen,BDJS,28845,NDA,Roy Arackal,SDPI,1294,,45587
91,Idukki,9.0,IDUKKI,13,IDUKKI,91,Idukki,184212,141292,Roshy Augustine,KCM,60556,UDF,K. Francis George,KCD,51223,LDF,Biju Madhavan,BDJS,27403,NDA,Sabu Kochuparampil,BSP,566,,9333
92,Peerumade,9.0,IDUKKI,13,IDUKKI,92,Peerumade,175515,128781,E. S. Bijimol,CPI,56584,LDF,Syriac Thomas,INC,56270,UDF,Kumar,BJP,11833,NDA,Abdul Kadar,AIADMK,2862,,314
93,Pala,10.0,KOTTAYAM,14,KOTTAYAM,93,Pala,180040,139807,K. M. Mani,KCM,58884,UDF,Mani C. Kappen,NCP,54181,LDF,N. Hari,BJP,24821,NDA,Jose Thomas Pandiyammakkal,IND,489,IND,4703
94,Kaduthuruthy,10.0,KOTTAYAM,14,KOTTAYAM,94,Kaduthuruthy,182685,127174,Mons Joseph,KCM,73793,UDF,Scaria Thomas,KCST,31537,LDF,Stephen Chazhikadan,KCTH,17536,NDA,M. Ginish John,BSP,1473,,42256
95,Vaikom,10.0,KOTTAYAM,14,KOTTAYAM,95,Vaikom,162607,132083,C. K. Asha,CPI,61997,LDF,A. Saneeshkumar,INC,37413,UDF,N. K. Neelakandan Master,BDJS,30067,NDA,K. C. Chandrasekharan,BSP,540,,24584
