AC_NO,AC_NAME,DT_CODE,DIST_NAME,PC_NO,PC_NAME,no.,constituency,no._of_voters,turn_out,winner,winner_party,winner_votes,winner_alliance,runner_up,runner_up_party,runner_up_votes,runner_up_alliance,third,third_party,third_votes,third_alliance,fourth,fourth_party,fourth_votes,fourth_alliance,lead
16,Peravoor,2.0,KANNUR,2,KANNUR,16,Peravoor,168330,136526,Sunny Joseph,INC,65659,UDF,Binoy Kurian,CPIM,57670,LDF,Paily Vathiattu,BDJS,9129,NDA,P. K. Farookh,SDPI,1935,,7989
17,Mananthavady,3.0,WAYANAD,4,WAYANAD,17,Mananthavady,187688,145596,O. R. Kelu,CPIM,62436,LDF,P. K. Jayalakshmi,INC,61129,UDF,K. Mohandas,BJP,16230,NDA,P. N. Soman,SDPI,1377,,1307
18,Sulthanbathery,3.0,WAYANAD,4,WAYANAD,18,Sulthanbathery,218199,172044,I. C. Balakrishnan,INC,75747,UDF,Rugmini Subrahmanian,CPIM,64549,LDF,C. K. Janu,NDA,27920,NDA,Mukundan Cheengeri,BSP,791,,11198
19,Kalpetta,3.0,WAYANAD,4,WAYANAD,19,Kalpetta,190879,150970,C. K. Saseendran,CPIM,72959,LDF,M. V. Shreyams Kumar,JDU,59876,UDF,K. Sadanandan,BJP,12938,NDA,Joseph Ambalavayal,WPI,900,,13083
20,Vadakara,4.0,KOZHIKODE,3,VADAKARA,20,Vadakara,158057,129590,C. K. Nanu,JDS,49211,LDF,Manayath Chandran,JDU,39700,UDF,K. K. Rema T P House,IND,20504,IND,M. Rajesh Kumar,BJP,13937,NDA,9511
21,Kuttiadi,4.0,KOZHIKODE,3,VADAKARA,21,Kuttiadi,181907,157814,Parakkal Abdulla,IUML,71809,UDF,K. K. Lathika,CPIM,70652,LDF,Ramadas Manaleri,BJP,12327,NDA,P. C. Baskaran,WPI,1125,,1157
22,Nadapuram,4.0,KOZHIKODE,3,VADAKARA,22,Nadapuram,200522,162950,E. K. Vijayan,CPI,74742,LDF,K. Praveenkumar,INC,69983,UDF,M. P. Rajan,BJP,14493,NDA,Abdul Raheem,SDPI,2183,,4759
23,Quilandy,4.0,KOZHIKODE,3,VADAKARA,23,Quilandy,188135,153726,K. Dasan,CPIM,70593,LDF,N. Subramanian,INC,57224,UDF,K. Rajinesh Babu,BJP,22087,NDA,Ismayil Kammana,SDPI,798,,13369
24,Perambra,4.0,KOZHIKODE,3,VADAKARA,24,Perambra,179200,153429,T. P. Ramakrishnan,CPIM,72359,LDF,Mohammed Ikbal,KCM,68258,UDF,Sukumaran Nair,BDJS,8561,NDA,Razsaq Paleri,WPI,1673,,4101
25,Balusseri,4.0,KOZHIKODE,5,KOZHIKODE,25,Balusseri,209503,174595,Purushan Kadalundy,CPIM,82914,LDF,U. C. Raman Padanilam,MLIND,67450,UDF,P. K. Supran,BJP,19324,NDA,Balan Naduvannur,SDPI,1764,,15464
26,Elathur,4.0,KOZHIKODE,5,KOZHIKODE,26,Elathur,188260,157000,A. K. Saseendran,NCP,76387,LDF,Pottangadi Kishan Chand,JDU,47330,UDF,V. V. Rajan,BJP,29070,NDA,Kotteappatt Krishnan,IND,1724,IND,29057
27,Kozhikode North,4.0,KOZHIKODE,5,KOZHIKODE,27,Kozhikode North,169590,132647,A. Pradeep Kumar,CPIM,64192,LDF,P. M. Suresh Babu,INC,36319,UDF,K. P. Sreesan,BJP,29860,NDA,K. P. Velayudhan,BSP,457,,27873
28,Kozhikode South,4.0,KOZHIKODE,5,KOZHIKODE,28,Kozhikode South,148895,115626,M. K. Muneer,IUML,49863,UDF,Abdul Vahab,INL,43536,LDF,Satheesh Kuttiyil,BDJS,19146,NDA,U. K. Deysi Balasubramanian,SDPI,593,,6327
29,Beypore,4.0,KOZHIKODE,5,KOZHIKODE,29,Beypore,190986,155710,V. K. C. Mammed Koya,CPIM,69114,LDF,M. P. Adam Mulsi,INC,54751,UDF,Prakash Babu,BJP,27958,NDA,P. C. Muhammedkutty Master,WPI,1387,,14363
30,Kunnamangalam,4.0,KOZHIKODE,5,KOZHIKODE,30,Kunnamangalam,209958,180351,P. T. A. Rahim,LDF,77410,LDF,T. Siddiqu,INC,66205,UDF,C. K. Padmanabhan,BJP,32702,NDA,Latheef Anora,SDPI,1252,,11205
31,Koduvally,4.0,KOZHIKODE,5,KOZHIKODE,31,Koduvally,167618,137402,Karat Razack,LDF,61033,LDF,M. A. Razak Master,IUML,60460,UDF,Ali Akbar,BJP,11537,NDA,P. K. Zakariyya,WPI,1566,,573
32,Thiruvambady,4.0,KOZHIKODE,4,WAYANAD,32,Thiruvambady,168262,135697,George M. Thomas,CPIM,62324,LDF,V. M. Ummer Master,IUML,59316,UDF,Giri Pambanal,BDJS,8749,NDA,Raju Punnakkal,WPI,2226,,3008
33,Kondotty,5.0,MALAPPURAM,6,MALAPPURAM,33,Kondotty,188264,149595,T. V. Ibrahim,IUML,69668,UDF,K. P. Beerankutty,LDF,59014,LDF,K. Ramachandran,BJP,12513,NDA,Nazarudheen Elamaram,SDPI,3667,,10654
34,Eranad,5.0,MALAPPURAM,4,WAYANAD,34,Eranad,165979,135856,P. K. Basheer,IUML,69048,UDF,Abdurahiman,LDF,56155,LDF,K. P. Baburaj Master Thundathil,BJP,6055,NDA,Ummer Chelakkode,SP,1298,,12893
35,Nilambur,5.0,MALAPPURAM,4,WAYANAD,35,Nilambur,206057,162524,P. V. Anvar,LDF,77858,LDF,Aryadan Shoukath,INC,66354,UDF,Girish Mekkatt,BDJS,12284,NDA,K. Babu Mani,SDPI,4751,,11504
36,Wandoor,5.0,MALAPPURAM,4,WAYANAD,36,Wandoor,210087,155865,A. P. Anil Kumar,INC,81964,UDF,K. Nishanth,CPIM,58100,LDF,Sunitha Mohandas,BJP,9471,NDA,Krishnan Kuniyil,WPI,3399,,23864
37,Manjeri,5.0,MALAPPURAM,6,MALAPPURAM,37,Manjeri,190187,138976,M. Ummer,IUML,69779,UDF,K Mohandas,CPI,50163,LDF,C. Dinesh,BJP,11223,NDA,K. A. Savad,WPI,2503,,19616
38,Perinthalmanna,5.0,MALAPPURAM,6,MALAPPURAM,38,Perinthalmanna,194727,151439,Manjalamkuzhi Ali,IUML,70990,UDF,V. Sasikumar,CPIM,70411,LDF,M. K. Sunil,BJP,5917,NDA,Saleem Mampad,WPI,1757,,579
39,Mankada,5.0,MALAPPURAM,6,MALAPPURAM,39,Mankada,194288,151210,T. A. Ahammed Kabeer,IUML,69165,UDF,T. K. Rasheed Ali,CPIM,67657,LDF,B. Ratheesh,BJP,6641,NDA,Hameed Vaniyambalam,WPI,3999,,1508
40,Malappuram,5.0,MALAPPURAM,6,MALAPPURAM,40,Malappuram,193690,141880,P. Ubaidulla,IUML,81072,UDF,K. P. Sumathi,CPIM,45400,LDF,K. N. Badusha Thangal,BJP,7211,NDA,E. C. Ayisha,WPI,3330,,35672
41,Vengara,5.0,MALAPPURAM,6,MALAPPURAM,41,Vengara,169460,120287,P. K. Kunhalikutty,IUML,72181,UDF,P. P. Basheer,CPIM,34124,LDF,P. T. Ali Haji,BJP,7055,NDA,Kallan Aboobacker Master,SDPI,3049,,38057
42,Vallikkunnu,5.0,MALAPPURAM,6,MALAPPURAM,42,Vallikkunnu,183523,137533,Abdul Hameed Master,IUML,59720,UDF,O. K. Thangal,INL,47110,LDF,Janachandran Master,BJP,22887,NDA,Nissar Methar,PDP,2975,,12610
43,Tirurangadi,5.0,MALAPPURAM,7,PONNANI,43,Tirurangadi,182655,135258,P. K. Abdu Rabb,IUML,62927,UDF,Niyas Pulikkalakath,LDF,56884,LDF,P. V. Geetha Madhavan,BJP,8046,NDA,K. C. Naseer,SDPI,2478,,6043
44,Tanur,5.0,MALAPPURAM,7,PONNANI,44,Tanur,175511,140838,V. Abdurahiman,NSC,64472,LDF,Abdurahiman Randathani,IUML,59554,UDF,P. R. Rasmilnath,BJP,11051,NDA,Asharaf Vailathur,WPI,1291,,4918
45,Tirur,5.0,MALAPPURAM,7,PONNANI,45,Tirur,204129,156792,C. Mammutty,IUML,73432,UDF,Gafoor P. Lillis,NSC,66371,LDF,M. K. Devidasan,BJP,9083,NDA,Ganesh Vaderi,WPI,2001,,7061
46,Kottakkal,5.0,MALAPPURAM,7,PONNANI,46,Kottakkal,198642,148470,Abid Hussain Thangal,IUML,71768,UDF,N. A. Muhammed Kutty (Mammooty),NCP,56726,LDF,V. Unnikrishnan Master,BJP,13205,NDA,Neyyathoor Kunhimohamed,PDP,2763,,15042
47,Thavanur,5.0,MALAPPURAM,7,PONNANI,47,Thavanur,184684,142122,K. T. Jaleel,LDF,68179,LDF,Ifthiquarudheen Master,INC,51115,UDF,Ravi Thelath,BJP,15801,NDA,P. K Jaleel Parakkuzhiyil,SDPI,2649,,17064
48,Ponnani,5.0,MALAPPURAM,7,PONNANI,48,Ponnani,190378,141762,P. Sreeramakrishnan,CPIM,69332,LDF,P. T. Ajai Mohan,INC,53692,UDF,K. K. Surendran,BJP,11662,NDA,M. M. Shakkir,WPI,2048,,15640
49,Thrithala,6.0,PALAKKAD,7,PONNANI,49,Thrithala,178562,141053,V. T. Balram,INC,66505,UDF,Subaida Issac,CPIM,55958,LDF,V. T. Rema,BJP,14510,NDA,C. P. Mohammedali,SDPI,1313,,10547
50,Pattambi,6.0,PALAKKAD,8,PALAKKAD,50,Pattambi,179768,140128,Muhammed Muhassin,CPI,64025,LDF,C. P. Mohammed,INC,56621,UDF,P. Manoj,BJP,14824,NDA,C. Abdul Raoof,SDPI,1848,,7404
51,Shornur,6.0,PALAKKAD,8,PALAKKAD,51,Shornur,184811,141674,P. K. Sasi,CPIM,66165,LDF,C. Sangeetha,INC,41618,UDF,V. P. Chandran,BDJS,28836,NDA,M. Saidalavi,SDPI,1246,,24547
52,Ottapalam,6.0,PALAKKAD,8,PALAKKAD,52,Ottapalam,197601,150223,P. Unni,CPIM,67161,LDF,Shanimol Osman,INC,51073,UDF,P. Venugopalan,BJP,27605,NDA,A. A. Sulfikar,SDPI,1166,,16088
53,Kongad,6.0,PALAKKAD,8,PALAKKAD,53,Kongad,173767,134075,K. V. Vijayadas,CPIM,60790,LDF,Pandalam Sudhakaran,INC,47519,UDF,Renu Suresh,BJP,23800,NDA,P. V. Ramesh Kannampariyaram,BSP,789,,13271
54,Mannarkad,6.0,PALAKKAD,8,PALAKKAD,54,Mannarkad,189358,148512,N. Samsudheen,IUML,73163,UDF,K. P. Suresh Raj,CPI,60838,LDF,Kesavadev Puthumana,BDJS,10170,NDA,M. Sulaiman,WPI,1112,,12325
55,Malampuzha,6.0,PALAKKAD,8,PALAKKAD,55,Malampuzha,202815,159760,V. S. Achuthanandan,CPIM,73299,LDF,C. Krishnakumar,BJP,46157,NDA,V. S. Joy,INC,35333,UDF,C. P. Sreedharan,AIADMK,3154,,27142
56,Palakkad,6.0,PALAKKAD,8,PALAKKAD,56,Palakkad,178358,137836,Shafi Parambil,INC,57559,UDF,Sobha Surendran,BJP,40076,NDA,N. N. Krishnadas,CPIM,38675,LDF,Hari Arumbil,BSP,411,,17483
57,Tarur,6.0,PALAKKAD,9,ALATHUR (SC),57,Tarur,164194,129501,A. K. Balan,CPIM,67047,LDF,C. Prakash,INC,43979,UDF,K. V Divakaran,BJP,15493,NDA,K. T. Narayanankutty,BSP,663,,23068
